movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
The Amazing Spider-Man,2012,"['Action', 'Adventure', 'Sci-Fi']",136.0,7.0,525632,Sony,262000000.0,495900000.0
The Killer Inside Me,2010,"['Crime', 'Drama', 'Horror']",109.0,6.1,31727,IFC,217000.0,3800000.0
Robin Hood,2010,"['Action', 'Adventure', 'Drama']",140.0,6.6,239480,Uni.,105300000.0,216400000.0
The Sorcerer's Apprentice,2010,"['Action', 'Adventure', 'Family']",109.0,6.1,143862,BV,63200000.0,152100000.0
The Fighter,2010,"['Biography', 'Drama', 'Sport']",116.0,7.8,316539,Par.,93600000.0,35600000.0
The Conspirator,2010,"['Crime', 'Drama', 'History']",122.0,6.9,26416,RAtt.,11500000.0,3900000.0
Hugo,2011,"['Adventure', 'Drama', 'Family']",126.0,7.5,284869,Par.,73900000.0,111900000.0
Little Fockers,2010,"['Comedy', 'Romance']",98.0,5.5,99222,Uni.,148400000.0,162200000.0
Justice League,2017,"['Action', 'Adventure', 'Fantasy']",120.0,6.5,329135,WB,229000000.0,428900000.0
Hitchcock,2012,"['Biography', 'Comedy', 'Drama']",98.0,6.8,68315,FoxS,6000000.0,17600000.0
Sucker Punch,2011,"['Action', 'Adventure', 'Fantasy']",110.0,6.1,218371,WB,36400000.0,53400000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"['Adventure', 'Family', 'Fantasy']",113.0,6.3,129663,Fox,104400000.0,311300000.0
The Adventures of Tintin,2011,"['Action', 'Adventure', 'Animation']",107.0,7.3,202430,Par.,77600000.0,296400000.0
Machete,2010,"['Action', 'Crime', 'Thriller']",105.0,6.6,182320,Fox,26600000.0,17500000.0
Dear John,2010,"['Drama', 'Romance', 'War']",108.0,6.3,128657,SGem,80000000.0,35000000.0
The Green Hornet,2011,"['Action', 'Comedy', 'Crime']",119.0,5.8,148622,Sony,98800000.0,129000000.0
Hanna,2011,"['Action', 'Drama', 'Thriller']",111.0,6.8,179178,Focus,40300000.0,23500000.0
The Wolf of Wall Street,2013,"['Biography', 'Crime', 'Drama']",180.0,8.2,1035358,Par.,116900000.0,275100000.0
Megamind,2010,"['Action', 'Animation', 'Comedy']",95.0,7.3,207488,P/DW,148400000.0,173500000.0
The Young Messiah,2016,"['Drama', 'Fantasy']",111.0,5.6,2882,Focus,6500000.0,0.0
The Iron Lady,2011,"['Biography', 'Drama']",105.0,6.4,96066,Wein.,30000000.0,84900000.0
The Little Prince,2019,['Action'],93.0,8.3,6,EOne,1300000.0,96200000.0
Dylan Dog: Dead of Night,2010,"['Action', 'Comedy', 'Crime']",107.0,5.1,14120,OMNI/FSR,1200000.0,3400000.0
Child 44,2015,"['Crime', 'Drama', 'History']",137.0,6.5,59477,LG/S,1200000.0,11700000.0
The Runaways,2010,"['Biography', 'Drama', 'Music']",106.0,6.6,43792,App.,3600000.0,1100000.0
Selma,2014,"['Biography', 'Drama', 'History']",128.0,7.5,77633,Par.,52100000.0,14700000.0
Centurion,2010,"['Action', 'Adventure', 'Drama']",97.0,6.4,74085,Magn.,124000.0,6700000.0
Certified Copy,2010,"['Drama', 'Romance']",106.0,7.3,18210,IFC,1400000.0,4099999.0
Babies,2010,['Documentary'],79.0,7.1,6672,Focus,7300000.0,2200000.0
The Way Back,2010,"['Adventure', 'Drama', 'History']",133.0,7.3,102126,NM,2700000.0,17600000.0
Argo,2012,"['Biography', 'Drama', 'Thriller']",120.0,7.7,534683,WB,136000000.0,96300000.0
Wall Street: Money Never Sleeps,2010,['Drama'],133.0,6.2,93486,Fox,52500000.0,82300000.0
Secretariat,2010,"['Biography', 'Drama', 'Family']",123.0,7.2,24536,BV,59700000.0,537000.0
Krrish 3,2013,"['Action', 'Adventure', 'Sci-Fi']",152.0,5.3,18891,Eros,2200000.0,0.0
The Warrior's Way,2010,"['Action', 'Fantasy', 'Western']",100.0,6.3,24271,Rela.,5700000.0,5400000.0
The Descendants,2011,"['Comedy', 'Drama']",115.0,7.3,223464,FoxS,82600000.0,94700000.0
Iron Sky,2012,"['Action', 'Comedy', 'Sci-Fi']",93.0,5.9,87609,EOne,122000.0,8000000.0
The Eagle,2011,"['Action', 'Adventure', 'Drama']",114.0,6.2,61475,Focus,19500000.0,7600000.0
Suspiria,2018,"['Fantasy', 'Horror', 'Mystery']",152.0,6.8,37360,Amazon,2500000.0,5400000.0
The Book of Eli,2010,"['Action', 'Adventure', 'Drama']",118.0,6.9,271307,WB,94800000.0,62300000.0
The Bounty Hunter,2010,"['Action', 'Comedy', 'Romance']",110.0,5.6,112444,Sony,67099999.0,69300000.0
The Nutcracker in 3D,2010,"['Action', 'Family', 'Fantasy']",110.0,4.3,3119,Free,195000.0,16000000.0
The Legend of Hercules,2014,"['Action', 'Adventure', 'Fantasy']",99.0,4.2,50352,LG/S,18800000.0,42400000.0
Silver Linings Playbook,2012,"['Comedy', 'Drama', 'Romance']",122.0,7.7,621018,Wein.,132100000.0,104300000.0
Unfinished Song,2012,"['Comedy', 'Drama', 'Music']",90.0,7.0,6709,Wein.,1700000.0,5300000.0
Parental Guidance,2012,"['Comedy', 'Family']",105.0,6.1,23711,Fox,77300000.0,42500000.0
Howl,2010,"['Biography', 'Drama', 'Romance']",84.0,6.8,12096,Osci.,617000.0,566000.0
Goosebumps,2015,"['Adventure', 'Comedy', 'Family']",103.0,6.3,72858,Sony,80100000.0,70100000.0
Repo Men,2010,"['Action', 'Crime', 'Sci-Fi']",111.0,6.3,96144,Uni.,13800000.0,4600000.0
The Big Year,2011,['Comedy'],100.0,6.2,39522,Fox,7200000.0,244000.0
Life as We Know It,2010,"['Comedy', 'Drama', 'Romance']",114.0,6.6,113077,WB,53400000.0,52300000.0
Boyhood,2014,['Drama'],165.0,7.9,315584,IFC,25400000.0,19100000.0
Water for Elephants,2011,"['Drama', 'Romance']",120.0,6.9,105812,Fox,58700000.0,58400000.0
Adult World,2013,"['Comedy', 'Drama']",97.0,6.2,15924,IFC,25400.0,0.0
Monte Carlo,2011,"['Adventure', 'Comedy', 'Family']",109.0,5.8,38731,Fox,23200000.0,16500000.0
Ghost Rider: Spirit of Vengeance,2011,"['Action', 'Fantasy', 'Thriller']",96.0,4.3,103608,Sony,51800000.0,80800000.0
Winchester,2018,"['Biography', 'Drama', 'Fantasy']",99.0,5.4,24351,LGF,25100000.0,0.0
Skyfall,2012,"['Action', 'Adventure', 'Thriller']",143.0,7.8,592221,Sony,304400000.0,804200000.0
Jonah Hex,2010,"['Action', 'Drama', 'Fantasy']",81.0,4.7,51860,WB,10500000.0,356000.0
Dark Shadows,2012,"['Comedy', 'Fantasy', 'Horror']",113.0,6.2,229818,WB,79700000.0,165800000.0
Eddie the Eagle,2015,"['Biography', 'Comedy', 'Drama']",106.0,7.4,75331,Fox,15800000.0,30400000.0
Blended,2014,"['Comedy', 'Romance']",117.0,6.5,106491,WB,46300000.0,81700000.0
Lone Survivor,2013,"['Action', 'Biography', 'Drama']",121.0,7.5,246641,Uni.,125100000.0,29700000.0
Paul,2011,"['Adventure', 'Comedy', 'Sci-Fi']",104.0,7.0,220567,Uni.,37400000.0,60600000.0
Shanghai,2010,"['Crime', 'Drama', 'Mystery']",105.0,6.4,8662,Wein.,46400.0,9200000.0
The Darkest Hour,2011,"['Action', 'Adventure', 'Horror']",89.0,4.9,55071,Sum.,21400000.0,43200000.0
